Users,Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
1,34,Female,86.7,1.86,174,152,74,1.12,712,Strength,12.8,2.4,5,Intermediate  ,14.31
2,26,Female,84.7,1.83,166,156,73,1,833,Strength,27.9,2.8,5,Intermediate  ,33.49
3,22,Male,64.8,1.85,187,166,64,1.24,1678,Cardio,28.7,1.9,3,Intermediate  ,12.73
4,54,Female,75.3,1.82,187,169,58,1.45,628,Cardio,31.8,2.4,4,Beginner,20.37
5,34,Female,52.8,1.74,177,169,66,1.6,1286,Strength,26.4,3.2,4,Intermediate  ,20.83
6,38,Female,53,1.58,161,128,74,1.62,953,HIIT,23.4,2.5,2,Intermediate  ,13.02
7,44,Female,46.5,1.81,191,142,74,1.46,1238,Cardio,11.9,3.7,2,Intermediate  ,18.12
8,50,Female,88.5,1.63,181,136,63,1.63,829,Strength,11.6,1.8,4,Intermediate  ,19.16
9,18,Female,82.9,1.54,174,169,64,0.77,802,HIIT,27.8,2.2,3,Beginner,49.84
10,34,Female,65.9,1.74,195,169,73,2,1231,Yoga,30.5,3.2,5,Intermediate  ,12.32
11,39,Female,47,1.78,181,155,55,1.89,747,Yoga,31.7,2.3,3,Expert   ,28.39
12,19,Male,87.7,1.98,186,145,50,1.61,1705,Strength,14.1,2.3,3,Intermediate  ,15.99
13,56,Female,107.4,1.73,176,141,71,0.65,1564,HIIT,26,3,2,Expert   ,14.48
14,19,Female,71.7,1.91,197,148,74,1.15,464,Cardio,32.5,2.7,4,Intermediate  ,19.09
15,30,Female,90.6,1.6,161,125,52,1.03,1410,Yoga,16,3.5,4,Intermediate  ,13.91
16,23,Male,56.2,1.76,195,141,55,1.45,1195,HIIT,23.9,3.2,4,Beginner,22.61
17,39,Female,71.3,1.77,171,124,74,0.69,871,Cardio,21.9,2.1,5,Beginner,14.31
18,54,Female,47.7,1.56,181,128,74,1.5,853,Yoga,26.5,1.5,3,Beginner,23.64
19,26,Male,129.9,1.71,196,136,74,1.27,931,Yoga,26.6,1.8,5,Beginner,21.04
20,22,Female,102.4,1.5,173,156,55,1.44,453,HIIT,17.5,1.6,4,Expert   ,18.23
21,25,Male,57.2,1.82,184,140,74,1.15,888,Strength,26.9,2.6,4,Intermediate  ,15.23
22,59,Male,71.8,1.5,165,152,74,1.94,758,Yoga,28.9,3.3,3,Beginner,16.87
23,18,Male,112.4,1.71,177,165,55,1.56,1044,HIIT,33.5,1.7,2,Intermediate  ,24.43
24,25,Female,64.3,1.65,183,169,67,1.28,1783,Cardio,20,3.2,2,Expert   ,20.59
25,32,Male,72.4,1.74,189,127,60,1.4,1090,Yoga,16.9,1.6,2,Beginner,17.68
26,28,Male,62.4,1.56,193,141,55,2,861,Cardio,32.2,3.6,3,Beginner,18.61
27,27,Female,78.6,1.65,198,127,66,1.61,938,Yoga,26.8,3.1,3,Beginner,17.92
28,44,Female,45,1.53,199,158,50,0.7,930,Strength,21.9,3.6,4,Beginner,27.74
29,20,Female,103.4,1.53,180,166,56,1.28,631,HIIT,23,3,4,Beginner,19.18
30,51,Male,79.2,1.85,178,147,51,1.52,1355,Strength,23.2,2,4,Beginner,18.95
31,52,Female,40,1.84,\t182,156,56,1.2,1258,Cardio,25,2,4,Intermediate  ,12.32
32,35,Male,75.7,1.61,192,147,52,0.92,1211,Strength,21.2,2.4,3,Intermediate  ,23.19
33,21,Male,76.8,1.75,166,125,74,1.56,1152,Strength,25.1,2.7,3,Beginner,16.66
34,48,Female,112.6,1.69,160,162,63,0.89,1482,Cardio,22.6,2.5,4,Intermediate  ,12.32
35,18,Male,73.7,1.78,192,154,73,1.18,851,Strength,27.4,2.6,2,Intermediate  ,21.08
36,18,Female,84,1.71,194,148,52,0.92,621,Strength,28.3,3.4,3,Expert   ,17.99
37,28,Male,68,1.7,174,155,68,0.74,1464,Yoga,17,2.3,3,Intermediate  ,21.67
38,42,Female,95.5,1.95,168,125,72,1.91,632,HIIT,26.1,2,4,Beginner,12.32
39,27,Female,58.7,1.98,199,145,52,2,1119,Cardio,23,2.7,2,Expert   ,18.99
40,24,Female,86.5,1.65,196,169,59,1.08,771,Cardio,27.3,2.1,3,Beginner,12.9
41,44,Female,63.6,1.78,167,129,74,1.34,1165,Yoga,10.7,3.4,4,Beginner,15.73
42,49,Female,56.6,1.75,198,120,72,1.12,1767,Yoga,23.6,2.6,2,Intermediate  ,34.37
43,36,Female,40,1.71,178,169,69,1.3,1519,HIIT,27.5,2.7,4,Beginner,39.74
44,23,Female,67.7,1.73,188,162,54,1.76,954,Yoga,18,3.2,3,Beginner,16.07
45,56,Female,40,1.74,172,146,74,1.43,876,Yoga,26,3.4,2,Beginner,19.63
46,22,Female,99.1,1.72,182,169,62,1.14,1105,Yoga,31.4,3.6,4,Beginner,16.91
47,20,Female,72.9,1.63,164,156,51,1.11,582,Strength,27.1,3.2,3,Intermediate  ,19.83
48,44,Female,40,1.68,175,156,74,1.04,1010,Cardio,28.1,1.8,3,Expert   ,12.32
49,33,Female,58.3,1.77,167,153,74,1.41,969,Strength,29.5,2.6,2,Beginner,20.47
50,18,Male,40,1.64,177,134,53,0.98,468,Strength,25.6,2.1,3,Expert   ,18.78
51,59,Male,45.8,1.5,163,137,55,1.98,1306,Cardio,24,2.9,4,Intermediate  ,26.25
52,27,Male,52.3,1.75,180,128,61,1.92,931,Strength,15,2.5,4,Intermediate  ,23.23
53,33,Female,76.3,1.95,188,125,72,0.95,899,Strength,21.7,2.3,5,Beginner,26.08
54,47,Male,77.5,1.72,176,151,56,1.39,679,Cardio,13.3,3.5,2,Expert   ,24.32
55,27,Male,96.3,1.61,198,159,70,1.16,1203,Cardio,32.1,3.1,3,Beginner,12.32
56,55,Female,68.4,1.85,175,150,58,1.16,1020,Cardio,29.2,2.5,4,Intermediate  ,22.87
57,18,Female,56.9,1.77,183,131,57,1.28,1052,Cardio,20.7,3.5,4,Intermediate  ,18.57
58,24,Male,47.6,1.51,175,120,70,0.78,583,Strength,22.6,1.7,5,Beginner,13.71
59,26,Female,88.8,1.7,193,169,68,1.91,1145,Strength,18.1,3.7,2,Intermediate  ,30.34
60,29,Male,96.7,1.7,175,141,54,2,880,Yoga,32.9,2.3,2,Expert   ,13.16
61,43,Male,112,1.71,166,146,58,1.62,815,HIIT,31.2,2.6,3,Beginner,21.1
62,29,Female,72,1.66,167,144,68,0.87,1248,HIIT,10,3.6,4,Expert   ,17.55
63,22,Female,75.7,1.56,194,142,61,1.23,643,Strength,28.8,2.3,3,Expert   ,13.93
